ID,Title,Content,Content_Tagline,Content_Description,Content_Video,Content_Images,listing_thumbnail,ClosedorQuestionable,Chabad Status,Listing_Type,Meat_Dairy_Parve,Continent,Country,State/Provience,City,_listing_phone,_listing_kosher,_listing_website,_listing_pricing_range,geolocation_lat,geolocation_long,_listing_location,street_address,zip_code,_listing_social__facebook,_listing_kosher_url,_listing_email,_listing_social__instagram,DateCreated,_listing_confirmed,Status,Content_Menu_or_URL
12595,Communauté Juive de la Réunion,"<h3>The Jews association of La Réunion.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>There are about 500 Jews in the ACJR (Association of the Jewish community of Reunion).</li>
 	<li>There is a synagogue at St. Clotilde and a prayer room at a private home, these are the only two places of worship in St. Peter’s.</li>
 	<li>To contact them, click <a href=""https://www.facebook.com/synagoguereunion/"" target=""_blank"" rel=""noopener noreferrer"">here</a>.</li>
 	<li>Also,  you can contact: Aaron Partouche. 23 rue Jean Cocteau. Champ fleuri - 97409 Sainte Clotilde. Tel. : 06 92 76 77 77.</li>
 	<li><a href=""https://www.facebook.com/synagoguereunion/photos/a.353287868164951/970650946428637/?type=3&amp;theater"" target=""_blank"" rel=""noopener noreferrer"">360 View</a>.</li>
</ul>
[videopress IjgvK8Rr]

&nbsp;",The Jews association of La Réunion.,"There are about 500 Jews in the ACJR (Association of the Jewish community of Reunion).

 There is a synagogue at St. Clotilde and a prayer room at a private home, these are the only two places of worship in St. Peter’s.<

 To contact them, click <a href=""https://www.facebook.com/synagoguereunion/"" target=""_blank"" rel=""noopener noreferrer"">here</a>.

Also,  you can contact: Aaron Partouche. 23 rue Jean Cocteau. Champ fleuri - 97409 Sainte Clotilde. Tel. : 06 92 76 77 77",https://www.facebook.com/synagoguereunion/photos/a.353287868164951/970650946428637/?type=3&amp;theater,https://www.google.com/imgres?imgurl=https%3A%2F%2Flookaside.fbsbx.com%2Flookaside%2Fcrawler%2Fmedia%2F%3Fmedia_id%3D350796708414067&imgrefurl=https%3A%2F%2Fwww.facebook.com%2Fsynagoguereunion%2Fphotos%2F%3Fref%3Dpage_internal&tbnid=BY9veRhbIOtTRM&vet=12ahUKEwj22rPe2e3zAhX5wikDHT3LBWgQMygDegQIARB_..i&docid=vyx1CQ5SxuYDkM&w=959&h=958&q=Communaut%C3%A9%20Juive%20de%20la%20R%C3%A9union&ved=2ahUKEwj22rPe2e3zAhX5wikDHT3LBWgQMygDegQIARB_,https://www.google.com/imgres?imgurl=https%3A%2F%2Flookaside.fbsbx.com%2Flookaside%2Fcrawler%2Fmedia%2F%3Fmedia_id%3D350796708414067&imgrefurl=https%3A%2F%2Fwww.facebook.com%2Fsynagoguereunion%2Fphotos%2F%3Fref%3Dpage_internal&tbnid=BY9veRhbIOtTRM&vet=12ahUKEwj22rPe2e3zAhX5wikDHT3LBWgQMygDegQIARB_..i&docid=vyx1CQ5SxuYDkM&w=959&h=958&q=Communaut%C3%A9%20Juive%20de%20la%20R%C3%A9union&ved=2ahUKEwj22rPe2e3zAhX5wikDHT3LBWgQMygDegQIARB_,,,"Chabad ,Synagogue,Jewish Life",,Europe,France,Reunion,Sainte Clotilde,06 92 76 77 77 ,,,moderate,-20.8880313,55.4666032,Rue Jean Cocteau Sainte Clotilde 97400 Réunion, 23 rue Jean Cocteau,97409,https://www.facebook.com/synagoguereunion/?__tn__=dP-R&eid=ARDjuv1OXi3GOfqSn5ar-d61DOfjYViqPFeNPSlHcYrZTfAUtH7_cNMUwQnh4O8x8nfkcpLJ6SUeKnu2,,,,27/9/2018,23/4/2021,Confirmed,
12773,"Beth Shalom Temple (Havana, Cuba)","<h3>Hebrew community centre in Havana. Conservative.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Temple Beth Shalom, built in 1952, is a synagogue located in the Vedado neighborhood of downtown Havana.</li>
 	<li>If you have more information we would be happy to update this page.</li>
 	<li>To understand why there is no official Chabad in Cuba, which is also related to this organization, check out this <a href=""https://forward.com/news/breaking-news/214992/why-chabad-has-no-presence-in-cuba/"" target=""_blank"" rel=""noopener noreferrer"">article</a>.</li>
 	<li>There are two synagogues in town (a Sephardic one nearby and the Orthodox in the old town), this is the main community building and the largest congregation.</li>
 	<li>In 1981, much of the original building was sold to the state and was then turned into the Bertolt Brecht Cultural Center, including a theatre, a music venue, a gallery, and a bar.</li>
 	<li>Overall, the Jewish community in Cuba has enjoyed security and anti-Semitism has been minimal. In the years leading up to his death, Fidel Castro even attended the community's Hanukka celebration. (<a href=""https://en.wikipedia.org/wiki/Beth_Shalom_Temple_(Havana,_Cuba)"" target=""_blank"" rel=""noopener noreferrer"">source</a>)</li>
 	<li>Chabad Friends of Cuba's site has useful information, click <a href=""https://chabadcuba.wordpress.com/contact/"" target=""_blank"" rel=""noopener noreferrer"">here</a>.</li>
 	<li>The synagogue is located 3 miles northwest of downtown Havana.</li>
 	<li>Check out <a href=""https://www.timesofisrael.com/when-our-woman-in-havana-asked-fidel-castro-to-the-synagogue-hanukkah-party/"" target=""_blank"" rel=""noopener noreferrer"">this article (</a>which conveniently doesn't mention Alan Gross) about being Jewish in Cuba today.</li>
</ul>",,,,https://scontent-mia3-2.xx.fbcdn.net/v/t1.6435-9/47423869_2071578316416926_1632361247796101120_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=730e14&_nc_ohc=0hNhTp3lUjAAX882j5O&_nc_ht=scontent-mia3-2.xx&oh=153470a2f006eef94e401ccdc2a28ece&oe=61B531E0 https://scontent-mia3-2.xx.fbcdn.net/v/t1.18169-9/16831040_1259764650785264_7140031446341524366_n.jpg?_nc_cat=102&ccb=1-5&_nc_sid=730e14&_nc_ohc=9IVJUvj5PV0AX_7DAfU&_nc_ht=scontent-mia3-2.xx&oh=da0a5641f59b07accc495aab0d7f1045&oe=61B51764 https://scontent-mia3-1.xx.fbcdn.net/v/t1.18169-9/207953_1778144847812_3284403_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=cdbe9c&_nc_ohc=sWs0Sq_pn6wAX8JV5pt&_nc_ht=scontent-mia3-1.xx&oh=9f33d43f2b99fc52b10269d8b4e6dbf9&oe=61B5E816,,,,"Chabad ,Synagogue",,Central America,Cuba,Calle,La Habana,+53 7 328953,,https://chabadcuba.wordpress.com/,none,23.1416537,-82.3894597,"Entre 13 y 15, 259 Calle I, La Habana 10400, Cuba",,,https://www.facebook.com/pages/Beth-Shalom-Temple/136703256352857,,thecfcj@gmail.com,,19/9/2018,28/7/2021,,
758,"Chabad of Chengdu, China","<h3>Chabad Chengdu, China.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Modern, welcoming Chabad House.</li>
 	<li>For Shabbat, you can join to celebrate with delicious meals, in a warm atmosphere. From the Kiddush and Challah to the meaningful discussion and inspiring songs.</li>
 	<li>Kindly make a reservation so they can be properly prepared for all guests.</li>
 	<li>On Friday evenings, Arvit services begin fifteen minutes after candle lighting. Followed by the Shabbat meal. For Chengdu candle lighting times, please, <a href=""https://www.chabadchengdu.com/calendar/candlelighting.htm"" target=""_blank"" rel=""noopener noreferrer"">click here.</a></li>
 	<li>If you are looking for a hotel within walking distance to the Chabad House, <a href=""http://beta.chabadone.org/Article.asp?AID=2435874"" target=""_blank"" rel=""noopener noreferrer"">click here.</a></li>
 	<li>Due to Chinese government regulations,  events are restricted to foreign passport holders and their families.</li>
 	<li>Kosher food information, click <a href=""http://www.chabadchengdu.com/templates/articlecco_cdo/aid/2435937/jewish/Kosher-Food.htm/lang/en"" target=""_blank"" rel=""noopener noreferrer"">here</a>.</li>
 	<li>Sarah's Kitchen is Chengdu's first Kosher restaurant located at the Chabad Jewish Center of Chengdu. Opens daily and has an option for delivery throughout the city.  Offers authentic Chinese dishes as well as traditional Jewish dishes in a warm atmosphere.</li>
 	<li>There is currently no Mikvah in Chengdu. They are in the process of looking for a property and a donor so Chengdu can have a Mikvah of its own. <a href=""https://chabadchengducom.clhosting.org/templates/section_cdo/aid/3786799/lang/en"" target=""_blank"" rel=""noopener noreferrer"">Click here</a> to donate.</li>
</ul>","Chabad Chengdu, China.","KWB’s Highlights:

Modern, welcoming Chabad House.
For Shabbat, you can join to celebrate with delicious meals, in a warm atmosphere. From the Kiddush and Challah to the meaningful discussion and inspiring songs.
Kindly make a reservation so they can be properly prepared for all guests.
On Friday evenings, Arvit services begin fifteen minutes after candle lighting. Followed by the Shabbat meal. For Chengdu candle lighting times, please, click here.
If you are looking for a hotel within walking distance to the Chabad House, click here.
Due to Chinese government regulations,  events are restricted to foreign passport holders and their families.
Kosher food information, click here.
Sarah’s Kitchen is Chengdu’s first Kosher restaurant located at the Chabad Jewish Center of Chengdu. Opens daily and has an option for delivery throughout the city.  Offers authentic Chinese dishes as well as traditional Jewish dishes in a warm atmosphere.
There is currently no Mikvah in Chengdu. They are in the process of looking for a property and a donor so Chengdu can have a Mikvah of its own. Click here to donate.",,https://scontent-mia3-1.xx.fbcdn.net/v/t39.30808-6/241628278_4260326884034189_7668798140193397470_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=0debeb&_nc_ohc=PicvgF6OLMUAX8jyLAj&_nc_ht=scontent-mia3-1.xx&oh=431ad29a1f0ff7737571fe4207f88009&oe=618F9377 https://scontent-mia3-2.xx.fbcdn.net/v/t1.6435-9/193251797_3977831082283772_2392544176936704128_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=0debeb&_nc_ohc=k-X2G8zbuisAX_h3wO1&_nc_ht=scontent-mia3-2.xx&oh=b1a3bc2afc06cb956f176397df53676f&oe=61AFCCB7 https://scontent-mia3-2.xx.fbcdn.net/v/t1.6435-9/194751146_3977845078949039_8053301315923587929_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=0debeb&_nc_ohc=cS_T3qDuacAAX_Z91IF&_nc_ht=scontent-mia3-2.xx&oh=3174326d217a99141afde14e80394f1b&oe=61B22FE8,,,Official,"Chabad ,Delivery/Pickup,Shabbat Meals,Synagogue,Supermarket",,Asia,China,Sichuan,Shanghai,+86 187 8243 4429,R. Dovi Henig,http://www.chabadchengdu.com/,moderate,30.5728150,104.0668010,"Chengdu, Sichuan, China",,,https://www.facebook.com/ChabadOfChengdu/,,rabbi@chabadchengdu.com,,22/8/2017,18/2/2021,,
839,Chabad Bryansk,"<h3>Jewish community centre in Bryansk, Russia.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Warm Chabad open to fellow travellers.</li>
 	<li>Contact: Rabbi Menachem Mendel &amp; Mrs. Rivka Zaklas.</li>
</ul>","Jewish community centre in Bryansk, Russia.","KWB’s Highlights:

Warm Chabad open to fellow travellers.
Contact: Rabbi Menachem Mendel & Mrs. Rivka Zaklas.",,https://scontent-ort2-1.xx.fbcdn.net/v/t1.6435-9/50196336_1191259517708242_8922638096076374016_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=e3f864&_nc_ohc=WmZpCTq0VO4AX8A1gvS&_nc_ht=scontent-ort2-1.xx&oh=be59858471b9372ca20b59f5414cbac3&oe=61AF07E6 https://scontent-ort2-1.xx.fbcdn.net/v/t1.6435-9/218122621_1960366214130898_6688914070428936544_n.jpg?_nc_cat=102&ccb=1-5&_nc_sid=a26aad&_nc_ohc=fiKa4SbjNJYAX9c2xgq&_nc_ht=scontent-ort2-1.xx&oh=ab6212db97898c29185392c9304ae0bc&oe=61B118B9 https://scontent-ort2-1.xx.fbcdn.net/v/t1.6435-9/125005015_1774366922730829_7846083435787361099_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=730e14&_nc_ohc=GMFxjmzJX00AX8vVSfc&_nc_ht=scontent-ort2-1.xx&oh=369e6481917fffe75540dbea17a00a16&oe=61B211BD,,,Official,"Chabad ,Synagogue",,Asia,Russia,,Bryansk,7-4832-663835,,http://www.fjc.ru/bryansk,none,53.2635306,34.4161100,"Uritzkogo str. 27A Bryansk, 241000 Russia",Uritzkogo str. 27A Bryansk,241000,,,jbryansk@gmail.com,,20/8/2017,19/2/2021,,
1113,Chabad Cebu (Philippines),"<h3>Philippines, Chabad House, Cebu.</h3>
<strong>KWB's Highlights: </strong>
<ul>
 	<li>A Chabad House in the country's second metropolitan city, Cebu. It's an hour plane ride from Manila.</li>
 	<li>Take a two-minute walk from the Castle Peek Hotel, then take a right turn off F. Cabahug onto Pres Quezon St.</li>
</ul>
<p style=""text-align: center;""><img class=""size-medium wp-image-11630 aligncenter"" src=""https://kosherwithoutborders.com/wp-content/uploads/2017/08/14907152_336590650032465_2024707300343011141_n-200x300.jpg"" alt="""" width=""200"" height=""300"" /></p>
<p style=""text-align: center;""><strong>Rabbi Nir and Cheli Donnenfeld</strong></p>
<p style=""text-align: center;"">Rebbetzin Cheli Mobile: +639173211770
US Number: +1-7187150397
Israeli Number: 03-9770-849 Extension 2</p>
<p style=""text-align: center;"">Cebu@chabad.ph</p>","Philippines, Chabad House, Cebu.","KWB’s Highlights:

A Chabad House in the country’s second metropolitan city, Cebu. It’s an hour plane ride from Manila.
Take a two-minute walk from the Castle Peek Hotel, then take a right turn off F. Cabahug onto Pres Quezon St.",,,,,Official,"Chabad ,Synagogue",,Asia,Philippines,,Cebu,+639173211770,,http://chabad.ph/contact/chabad-in-cebu/,none,10.3232824,123.9117898,"unit B, President Aguinaldo Street, Villa Aurora Subdivision, Kasampagan, Mabolo Cebu City, Cebu, Philippines","unit B, President Aguinaldo Street",,https://www.facebook.com/ChabadOfCebu,,cebu@chabad.ph,,10/8/2017,22/2/2021,,
7963,Chabad of Pudong - Shanghai,"<h3>Friendly and modern Chabad House.</h3>
<strong>KWB Highlights:</strong>
<ul>
 	<li>Active, friendly, and modern Chabad House in Shanghai.</li>
 	<li>Located in the <strong>same building of the <a href=""http://www.anrdoezrs.net/links/8415154/type/dlg/fragment/%3AWO/https://www.hotels.com/ho231919/?pa=1&amp;tab=description&amp;ZSX=0&amp;SYE=3&amp;q-room-0-children=0&amp;q-room-0-adults=2"">Ramada Plaza Hotel,</a></strong> which is super convenient if you don't enjoy getting lost.</li>
 	<li>Communal meals on Shabbat.</li>
 	<li>Located 30 minutes away from the Pudong Airport, which is where most international flights land.</li>
 	<li>If you need to catch a flight right after Shabbat, staying here is a wise choice.</li>
 	<li>Unlike the other two Shanghai Chabad Houses (aka ""Jewish Centers"") there is NO restaurant here, but they will try to accommodate your needs if you call ahead.</li>
 	<li>Usually there is no weekday minyan in this location.</li>
 	<li>Rabbi Abraham Greenberg is awesome.</li>
 	<li>Due to the way China handles the internet, our site has a very hard time showing you exact address in the map. We apologize.</li>
 	<li>His brother, Shalom, runs the first <a href=""https://kosherwithoutborders.com/listings/grand-mercure-shanghai-hongqiao/"">Chabad House in Shanghai,</a> located in Hong Qiao.</li>
 	<li>There are Kosher products that are impossible to find in China. Make sure to bring something for the rabbi's family when you visit!</li>
</ul>
<strong>SHABBAT PRAYERS AND MEALS.</strong>
<ul>
 	<li><strong>Friday night:
</strong>
<ul>
 	<li>Friday night services usually take place 6:30 – 7:15 PM (Confirm with them).</li>
 	<li>Shabbat meal will be served following the service (<a href=""https://www.jewishpudong.com/templates/articlecco_cdo/aid/4248897/jewish/Shabbat-Meals-Reservation.htm"" target=""_blank"" rel=""noopener noreferrer"">by reservation only</a>).</li>
</ul>
</li>
 	<li><strong>Shabbat morning:
</strong>
<ul>
 	<li>Parsha Class - 9:30 AM.</li>
 	<li>Shabbat Morning service - 10:00 AM.</li>
 	<li>Shabbat Lunch will be served following the Service (<a href=""https://www.jewishpudong.com/templates/articlecco_cdo/aid/4248897/jewish/Shabbat-Meals-Reservation.htm"" target=""_blank"" rel=""noopener noreferrer"">by reservation only</a>).</li>
</ul>
</li>
 	<li>For more information about hotels near the Chabad, click <a href=""http://www.jewishpudong.com/templates/articlecco_cdo/aid/2207972"" target=""_blank"" rel=""noopener noreferrer"">here</a>.</li>
 	<li><a href=""http://www.jewishpudong.com/templates/articlecco_cdo/aid/3173820/jewish/Synagogue.htm"" target=""_blank"" rel=""noopener noreferrer"">Useful information about the synagogue</a>.</li>
 	<li>For donations click <a href=""http://www.jewishpudong.com/templates/articlecco_cdo/aid/3175059"" target=""_blank"" rel=""noopener noreferrer"">here</a>.</li>
</ul>",Friendly and modern Chabad House.,"KWB Highlights:

Active, friendly, and modern Chabad House in Shanghai.
Located in the same building of the Ramada Plaza Hotel, which is super convenient if you don’t enjoy getting lost.
Communal meals on Shabbat.
Located 30 minutes away from the Pudong Airport, which is where most international flights land.
If you need to catch a flight right after Shabbat, staying here is a wise choice.
Unlike the other two Shanghai Chabad Houses (aka “Jewish Centers”) there is NO restaurant here, but they will try to accommodate your needs if you call ahead.
Usually there is no weekday minyan in this location.
Rabbi Abraham Greenberg is awesome.
Due to the way China handles the internet, our site has a very hard time showing you exact address in the map. We apologize.
His brother, Shalom, runs the first Chabad House in Shanghai, located in Hong Qiao.
There are Kosher products that are impossible to find in China. Make sure to bring something for the rabbi’s family when you visit!
SHABBAT PRAYERS AND MEALS.

Friday night:
Friday night services usually take place 6:30 – 7:15 PM (Confirm with them).
Shabbat meal will be served following the service (by reservation only).
Shabbat morning:
Parsha Class – 9:30 AM.
Shabbat Morning service – 10:00 AM.
Shabbat Lunch will be served following the Service (by reservation only).
For more information about hotels near the Chabad, click here.
Useful information about the synagogue.
For donations click here.",,https://w2.chabad.org/media/images/928/CQcU9289683.png https://w2.chabad.org/media/images/928/euiH9289599.png https://w2.chabad.org/media/images/615/vLMy6157234.jpeg,,,Official,"Chabad ,Synagogue,Food",,Asia,China,,Shanghai,8613817800791,R. Avraham Greenberg,https://www.jewishpudong.com/,moderate,31.2452390,121.5911689,"18 Xinjinqiao Rd, Pudong Xinqu, Shanghai Shi, China, 201203","18 Xinjinqiao Rd, Pudong Xinqu",201203,https://www.facebook.com/Chabad-of-Pudong-Shanghai-367320056672572/,,rabbi@jewishpudong.com,,31/5/2018,12/2/2021,,
851,Jewish Community of Birobidjan,"<h3>A federation of the Jewish Communities in Birobidzhan, Russia.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>The synagogue is in the city of Birobidzhan, which is the capital of the Jewish Autonomous Oblast, the only autonomous oblast of Russia.</li>
 	<li>It is ""the first synagogue in Russia to be built partly with state money,"" according to the Federation of Jewish Communities of the CIS. <sup id=""cite_ref-1"" class=""reference""></sup>The Russian government allotted US$ 112,000 to help build the synagogue.</li>
 	<li>In 2004, the Jewish community in Birobidzhan received an Aron Kodesh. This special storage case for the Torah, from Birobidzhan's sister city in China, was made in accordance with Jewish canons.<sup id=""cite_ref-10"" class=""reference""> </sup></li>
 	<li>In 2008, Shalom Brandman a resident of Ramat Gan, Israel, donated a Judaic studies collection to the synagogue after his visit to Birobidzhan during the 2007 summer Yiddish programme.</li>
 	<li>The first-ever public <i><span class=""glossary_item"">mikvah</span></i> is currently under construction in this famous Yiddish-speaking city of Birobidzhan.</li>
</ul>","A federation of the Jewish Communities in Birobidzhan, Russia.","KWB’s Highlights:

The synagogue is in the city of Birobidzhan, which is the capital of the Jewish Autonomous Oblast, the only autonomous oblast of Russia.
It is “the first synagogue in Russia to be built partly with state money,” according to the Federation of Jewish Communities of the CIS. The Russian government allotted US$ 112,000 to help build the synagogue.
In 2004, the Jewish community in Birobidzhan received an Aron Kodesh. This special storage case for the Torah, from Birobidzhan’s sister city in China, was made in accordance with Jewish canons. 
In 2008, Shalom Brandman a resident of Ramat Gan, Israel, donated a Judaic studies collection to the synagogue after his visit to Birobidzhan during the 2007 summer Yiddish programme.
The first-ever public mikvah is currently under construction in this famous Yiddish-speaking city of Birobidzhan.",,"https://i.guim.co.uk/img/media/b308fd99968bc025133ada53838db114eae9e246/0_532_4032_2419/master/4032.jpg?width=620&quality=85&auto=format&fit=max&s=adeb566792418c5d42c6f2cd4da350e2
https://www.jpost.com//HttpHandlers/ShowImage.ashx?id=333568&w=640&h=428",,,Official,"Chabad ,Synagogue",,Asia,Russia,,Birobidzhan,7-426-22-20-402,,https://fjc-fsu.org/birobidjan-revived-new-torah-scroll/,none,48.7879712,132.9306664,"Oktiabrskaia Street 3A/9 Birobidzhan, 679016 Russia",Oktiabrskaia Street 3A/9 Birobidzhan,679016,,,NewsFJC@gmail.com,,18/8/2017,19/2/2021,,
13166,Canterbury Hebrew Congregation,"<h3>Synagogue in Christchurch, New Zealand.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
</ul>",,,,https://scontent-dfw5-1.xx.fbcdn.net/v/t1.6435-9/80056823_500434343897965_7587451395041656832_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=e3f864&_nc_ohc=lykty2q_46gAX9YBFmW&_nc_ht=scontent-dfw5-1.xx&oh=8b77b29d347add6e2c873bc5e97171cb&oe=61BC328F   https://scontent-dfw5-1.xx.fbcdn.net/v/t1.6435-9/47679835_308402469767821_3706593459763675136_n.jpg?_nc_cat=101&ccb=1-5&_nc_sid=8bfeb9&_nc_ohc=ZFh3PwWE--IAX9jaJlX&_nc_ht=scontent-dfw5-1.xx&oh=35f316bbadaab894d90770ad90aa7c54&oe=61BC186A,,,Official,"Chabad ,Synagogue",,Oceania,New Zealand,,,+64 210 287 1650,,http://chc.org.nz,none,-43.5216052,172.6339567,"406 Durham Street North, Christchurch Central City, Christchurch 8013, New Zealand",,,https://www.facebook.com/TheCanterburyHebrewCongregation/,,info@chc.org.nz,,30/12/2018,21/8/2019,,
6013,Estonian Jewish Center,"<h3>Chabad House in Estonia</h3>
<ul>
 	<li>They offer weekday prayers, Shabbat prayers, holiday prayers, memorial prayers, The Jewish rituals, The Gates of Heaven ( individual blessings and prayers), prayers and petitions to the Almighty.</li>
 	<li>In addition to hosting religious services and Jewish holiday celebrations with its 200-seat main hall, the Synagogue oversees the preparation and distribution of kosher food, as well as hosting a Mikvah, and a Jewish museum.</li>
 	<li>Shabbat meals are organised by <span style=""color: inherit; font-family: inherit; font-size: inherit;"">Rabbi Shmuel and Rabanit Chanie Kot, but please register in advance by <a href=""http://rabbi@ejc.ee"" target=""_blank"" rel=""noopener noreferrer"">email</a>.</span></li>
 	<li>During Jewish Holidays there are Services and Holiday meals.</li>
 	<li>Donations <a href=""http://www.ejc.ee/templates/articlecco_cdo/aid/388561/jewish/Donate.htm"" target=""_blank"" rel=""noopener noreferrer"">click here</a>.</li>
 	<li>Tourist information <a href=""http://www.ejc.ee/templates/articlecco_cdo/aid/528327/jewish/Tourists-information.htm"" target=""_blank"" rel=""noopener noreferrer"">click here</a>.</li>
</ul>",Chabad House in Estonia,"They offer weekday prayers, Shabbat prayers, holiday prayers, memorial prayers, The Jewish rituals, The Gates of Heaven ( individual blessings and prayers), prayers and petitions to the Almighty.
In addition to hosting religious services and Jewish holiday celebrations with its 200-seat main hall, the Synagogue oversees the preparation and distribution of kosher food, as well as hosting a Mikvah, and a Jewish museum.
Shabbat meals are organised by Rabbi Shmuel and Rabanit Chanie Kot, but please register in advance by email.
During Jewish Holidays there are Services and Holiday meals.
Donations click here.
Tourist information click here.",,"https://static.visitestonia.com/images/3666885/1600_900_false_false_43a3efafa3b7025b4ad98c9effdd078c.jpg
https://w2.chabad.org/media/images/129/pisW1293821.jpg
https://w2.chabad.org/media/images/133/sqOh1338760.jpg
https://w2.chabad.org/media/images/133/sqOh1338760.jpg",,,Official,"Chabad ,Synagogue",,Europe,Estonia,Estonia,Tallinn,372-662-30-50,,http://www.ejc.ee/,moderate,59.4387207,24.7666930,"16 Karu Street, Tallinn, Estonia",16 Karu Street,,,,,,23/11/2017,,,
4053,The Shul,"<h3>Religious organization in Surfside, Florida.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li><strong>They dont sell food, but very popular with tourists who stay in the area.</strong></li>
 	<li><strong>Huge Kiddush by day.</strong></li>
</ul>
Part of Chabad-Lubavitch, The Shul, Jewish Community Center has been a vital part of the Greater Bal Habour Community for over the past 30 years. Led by Rabbi Sholom Lipskar, Emissary of the Lubavitcher Rebbe, an internationally known educator who believes the Torah must be experienced in the context of a modern, technologically advanced world. His approach is one of warmth and time-tested wisdom.

The Shul is located in Surfside, Florida and serves as a Jewish Community Center for these four neighborhoods in Miami; Surfside, Bal Harbour, Bay Harbour and Indian Creek.",,,,,,,Official,"Chabad ,Synagogue",,North America,USA,Florida,Surfside,+1 305-868-1411,,https://www.theshul.org/,none,25.8857479,-80.1228812,"9540 Collins Ave, Surfside, FL 33154, USA",9540 Collins Ave,33154,https://www.facebook.com/theshulfl/,,info@theshul.org,https://www.instagram.com/theshulofbalharbour/?hl=en,2/11/2017,26/7/2021,,
