ID,Title,Content,ClosedorQuestionable,Chabad Status,Listing_Type,Meat_Dairy_Parve,Continent,Country,State/Provience,City,listing_thumbnail,_listing_phone,_listing_kosher,_listing_website,_listing_pricing_range,geolocation_lat,geolocation_long,_listing_location,_listing_social__facebook,_listing_kosher_url,_listing_email,_listing_working_hours,_listing_monday_hours_radio,_listing_monday_hours_open,_listing_monday_hours_close,_listing_tuesday_hours_radio,_listing_tuesday_hours_open,_listing_tuesday_hours_close,_listing_wednesday_hours_radio,_listing_wednesday_hours_open,_listing_wednesday_hours_close,_listing_thursday_hours_radio,_listing_thursday_hours_open,_listing_thursday_hours_close,_listing_friday_hours_radio,_listing_friday_hours_open,_listing_friday_hours_close,_listing_saturday_hours_radio,_listing_saturday_hours_open,_listing_saturday_hours_close,_listing_sunday_hours_radio,_listing_sunday_hours_open,_listing_social__instagram,DateCreated,_listing_confirmed,Status,Content_Tagline,Content_Description,Content_Images,Content_Video,Content_Menu_or_URL,street_address,zip_code,KWB_Highlight,More Information:
8092,The Kosher Meat Club Supermarket,"<div class=""c-message_kit__gutter"">
<div class=""c-message_kit__gutter__right"" data-qa=""message_content"">
<div class=""c-message_kit__blocks c-message_kit__blocks--rich_text"">
<div class=""c-message__message_blocks c-message__message_blocks--rich_text"">
<div class=""p-block_kit_renderer"" data-qa=""block-kit-renderer"">
<div class=""p-block_kit_renderer__block_wrapper p-block_kit_renderer__block_wrapper--first"">
<div class=""p-rich_text_block"" dir=""auto"">
<h2 class=""p-rich_text_section""><strong>*PERMANENTLY CLOSED*</strong></h2>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<div class=""c-message_actions__container c-message__actions"" role=""group"" aria-label=""Acciones de mensaje"" data-qa=""message-actions""></div>
<h3>Nice restaurant with takeaway and delivery service available.</h3>
<strong>KWB Highlights:</strong>
<ul>
 	<li>Meat Glatt Kosher.</li>
 	<li>Food takeaway and delivery service available.</li>
 	<li>This place is a market with Kosher products and offers ready-made meals to takeaway.</li>
 	<li>Located in St. Joseph's, 5 miles northwest of Downtown Milwaukee.</li>
 	<li>For more information about their menu and ordering services click <a href=""http://www.kmkmilwaukee.com/menu.html"" target=""_blank"" rel=""noopener noreferrer"">here</a>.</li>
</ul>",checked,,Supermarket,,North America,USA,Wisconsin,Milwaukee,https://images.unsplash.com/photo-1583868161943-29a9ec42256e?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1171&q=80,,,,moderate,43.0750352,-87.9732697,"4731 W Burleigh St #1757, Milwaukee, WI 53210, USA",,,,,,,,,,,,,,,,,,,,,,,,,,28/5/2018,1/11/2020,,,,https://s3-media0.fl.yelpcdn.com/bphoto/FR64OViygBRFCCZznJ5mwQ/348s.jpg   https://www.google.com/maps/uv?pb=!1s0x8804e14dfbdfaf81%3A0x4bb02979054beca!3m1!7e115!4shttps%3A%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipO_jDtvi4ovz-_WrxUY9a22cBdA-lvd0DIdT1QX%3Dw284-h160-k-no!5sMequon%20Metro%20Market%20-%20Google%20Search!15sCgIgAQ&imagekey=!1e10!2sAF1QipOfArIR5BmTmStbsPDvi-OAJLNP285p0fFkqkCR&hl=en&sa=X&ved=2ahUKEwiAkv7O96T0AhWWlWoFHZ51BSgQoip6BAhfEAM,,,,,,
12272,Jerusalem Sub,"<div class=""c-message_kit__gutter"">
<div class=""c-message_kit__gutter__right"" data-qa=""message_content"">
<div class=""c-message_kit__blocks c-message_kit__blocks--rich_text"">
<div class=""c-message__message_blocks c-message__message_blocks--rich_text"">
<div class=""p-block_kit_renderer"" data-qa=""block-kit-renderer"">
<div class=""p-block_kit_renderer__block_wrapper p-block_kit_renderer__block_wrapper--first"">
<div class=""p-rich_text_block"" dir=""auto"">
<h2 class=""p-rich_text_section""><strong>*PERMANENTLY CLOSED*</strong></h2>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<h3>Casual restaurant offering subs in a shopping mall.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Subs (meat, Glatt Kosher, Pas Yisroel).</li>
 	<li>Jerusalem Sub sells a variety of sub sandwiches, including fish, vegetarian, and kids options. It is located in the same shopping centre as <a href=""https://kosherwithoutborders.com/listings/jerusalem-pizza-jerusalem-bagel-detroit-kosher-cholov-yisroel/"" target=""_blank"" rel=""noopener notnofollow noreferrer"">Jerusalem Pizza</a>.</li>
 	<li>Casual and friendly, with seating available outside.</li>
 	<li>Located 15 miles northwest of downtown Detroit.</li>
 	<li>K-COR <a href=""http://cordetroit.com/about/"" target=""_blank"" rel=""noopener noreferrer"">Heschcher</a>.</li>
</ul>",checked,,Restaurant,Meat,North America,USA,Michigan,,https://images.unsplash.com/photo-1583868161943-29a9ec42256e?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1171&q=80,(248) 423-4400,K-COR / Vaad Harabonim of Detroit,https://locu.com/places/jerusalem-subs-inc-southfield-us/,moderate,42.4815524,-83.2031822,"26055 Greenfield Road Southfield, Michigan 48076",,,,,,,,,,,,,,,,,,,,,,,,,,9/8/2018,20/1/2021,,,,,,,,,,
4447,Sababa Mediterranean Grill,"<div class=""c-message_kit__gutter"">
<div class=""c-message_kit__gutter__right"" data-qa=""message_content"">
<div class=""c-message_kit__blocks c-message_kit__blocks--rich_text"">
<div class=""c-message__message_blocks c-message__message_blocks--rich_text"">
<div class=""p-block_kit_renderer"" data-qa=""block-kit-renderer"">
<div class=""p-block_kit_renderer__block_wrapper p-block_kit_renderer__block_wrapper--first"">
<div class=""p-rich_text_block"" dir=""auto"">
<h2 class=""p-rich_text_section""><strong>*PERMANENTLY CLOSED*</strong></h2>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<h3>Glatt kosher falafel, hummus &amp; more served in a strip-mall with a walk-up counter.</h3>
<strong>KWB’s Highlights:</strong>
<ul>
 	<li>In Hebrew slang, the word sababa means ""all right,"" ""good,"" ""no problem.""</li>
 	<li>""Everything is cool"" has always been the attitude of Sababa Mediterranean Grill in Las Vegas, Nevada.</li>
 	<li>The restaurant got its monikor when the original owner called his brother to ask some advice on their new restaurant. The customary response to the ""How are you"" inquiry is to answer with, ""Sababa,"" and when the brothers exchanged salutations, the proverbial light bulb went off, and their new restaurant had a name! When current owner, Effie Shencher bought SMG in 2005, he liked the story and agreed with the philosophy, so he kept the name, Sababa.</li>
 	<li>Effie’s first culinary journey began in his mother’s kitchen as a young boy. It was there that his love for cooking grew. He pursued his passion and graduated from Tadmor Culinary School in Israel. Effie has been in the industry for 27 years, operating and owning restaurants and catering businesses in Las Vegas and Israel.</li>
 	<li>Sababa looks forward to serving you with ""Everything is cool"" and “all is good” dining experience.</li>
 	<li>For more information <a href=""http://www.sababavegas.com/"" target=""_blank"" rel=""noopener noreferrer"">click here</a>.</li>
</ul>",checked,,Restaurant,Meat,North America,USA,Nevada,Las Vegas,https://images.unsplash.com/photo-1583868161943-29a9ec42256e?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1171&q=80,+1 702-547-5556,The Va'ad HaKashrus of Las Vegas,http://www.sababamediterranean.site/?utm_source=google&utm_medium=website&utm_campaign=SababaMediterraneanGrill&utm_term=5cace02b0afa81000134a034,moderate,36.1309291,-115.2784336,"3220 S Durango Dr, Las Vegas, NV 89117, USA",https://www.facebook.com/SababaVegas/,http://www.lvkosher.com/,sababamg@gmail.com,sunday,custom,11:00,"a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""15:00"";}",closed,,,custom,"a:1:{i:0;s:5:""11:00"";}",,18/10/2017,1/10/2020,,,,,,,,,,
21793,Inn Season Café,"<div class=""c-message_kit__gutter"">
<div class=""c-message_kit__gutter__right"" data-qa=""message_content"">
<div class=""c-message_kit__blocks c-message_kit__blocks--rich_text"">
<div class=""c-message__message_blocks c-message__message_blocks--rich_text"">
<div class=""p-block_kit_renderer"" data-qa=""block-kit-renderer"">
<div class=""p-block_kit_renderer__block_wrapper p-block_kit_renderer__block_wrapper--first"">
<div class=""p-rich_text_block"" dir=""auto"">
<h2 class=""p-rich_text_section""><strong>Certificate by non orthodox rabbi</strong></h2>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
</ul>
<strong>CLOSED UNTIL FURTHER NOTICE</strong>",checked,,"Cafe,Restaurant,Food",Meat,North America,USA,Michigan,,https://images.unsplash.com/photo-1583868161943-29a9ec42256e?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1171&q=80,(248) 547-7916,KM,http://theinnseasoncafe.com/,none,42.4871742,-83.1393312,"500 E 4th St, Royal Oak, MI 48067, USA",https://www.facebook.com/Inn-Season-Cafe-108170342557619/,https://koshermichigan.com/kosher-certified-businesses/,innseasoncafe@yahoo.com,sunday,closed,,,custom,"a:1:{i:0;s:5:""11:30"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:30"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:30"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:30"";}","a:1:{i:0;s:5:""21:30"";}",custom,"a:1:{i:0;s:5:""19:00"";}","a:1:{i:0;s:5:""21:30"";}",custom,"a:1:{i:0;s:5:""11:00"";}",,10/2/2020,20/1/2021,,,,,,,,,,
9852,Asher Caffe &amp; Lounge,"<div class=""c-message_kit__gutter"">
<div class=""c-message_kit__gutter__right"" data-qa=""message_content"">
<div class=""c-message_kit__blocks c-message_kit__blocks--rich_text"">
<div class=""c-message__message_blocks c-message__message_blocks--rich_text"">
<div class=""p-block_kit_renderer"" data-qa=""block-kit-renderer"">
<div class=""p-block_kit_renderer__block_wrapper p-block_kit_renderer__block_wrapper--first"">
<div class=""p-rich_text_block"" dir=""auto"">
<h3 class=""p-rich_text_section""><strong>*PERMANENTLY CLOSED*</strong></h3>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<h3>Coffee place with fast service, serving breakfast and lunch.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>This place is permanently closed.</li>
</ul>",checked,,Cafe,Dairy (Cholov Stam),North America,USA,California,Los Angeles,https://images.unsplash.com/photo-1583868161943-29a9ec42256e?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1171&q=80,+1 323-968-1000,,,none,34.0345064,-118.2195620,"945 S Boyle Ave, Los Angeles, CA 90023, USA",,,,,,,,,,,,,,,,,,,,,,,,,,19/7/2018,8/2/2021,,,,,,,,,,
4246,La'Chaim Asian Cuisine & Steakhouse,"<h2><strong>Permanently Closed</strong></h2>
<h3>Contemporary space with cool lighting offers kosher Chinese &amp; southeast Asian food, sushi &amp; steaks.</h3>
<strong>KWB’s Highlights:</strong>
<ul>
 	<li>If you're keeping kosher in South Florida, you don't have to settle for a falafel joint the next time you're looking for a place to eat.</li>
 	<li>L'Chaim Asian Cuisine &amp; Steakhouse is certified by the Orthodox Rabbinic Board with chefs who hand-pick the freshest local meats and vegetables and use a selection of imported spices, seasonings, and authentic ingredients to ensure a great kosher dining experience.</li>
 	<li>The menu is dine-in or takeaway and offers a wide spectrum of cuisine from sushi to steak designed to satisfy a variety of dietary concerns and dining preferences.</li>
 	<li>For more information <a href=""http://www.greatkosherrestaurants.com/restaurants/2356/l-chaim-asian-cuisine-and-steakhouse"" target=""_blank"" rel=""noopener noreferrer"">click here</a>.</li>
</ul>",checked,,Restaurant,Meat,North America,USA,Florida,Hollywood,,+1 954-362-0777,ORB,,moderate,26.0463230,-80.1913541,"4000 N 46th Ave, Hollywood, FL 33021, USA",https://www.facebook.com/lchaimrestaurant/,https://orbonline.org/category/restaurants/,saras770@yahoo.com,sunday,custom,11:00,22:00,custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""22:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""22:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""22:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""16:00"";}",custom,"a:1:{i:0;s:5:""21:00"";}","a:1:{i:0;s:5:""01:30"";}",custom,"a:1:{i:0;s:5:""11:00"";}",,18/10/2017,26/7/2021,,,,,,,4000 N 46th Ave,33021,,
20024,Lenny’s Grill and Deli,"<h2><strong>Permanently Closed</strong></h2>
<h3>Kosher Burgers Restaurant.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
</ul>",checked,,Restaurant,Meat,North America,USA,Florida,Miami,,(786) 216-7140,KM,http://www.lennysgrillanddeli.com,moderate,25.8135405,-80.1304323,"4017 Prairie Ave, Miami Beach, FL 33140, USA",https://www.facebook.com/lennysgrillanddeli/,https://koshermiami.org/establishments/LennysGrill,lennysgrillanddeli@gmail.com,sunday,custom,11:00,"a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""21:00"";}",closed,,,custom,"a:1:{i:0;s:5:""11:00"";}",,31/10/2019,22/7/2021,,,,,,,4017 Prairie Ave,33140,,
23157,Vish Hummus Surfside,"<h2>Healthy hummus bar(vegan options)</h2>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Serving hot hummus dishes with a variety of tasty toppings, alongside fresh Yemen pita bread, and a warm smile.</li>
 	<li>Menu <a href=""https://vish.rest/menu/"">https://vish.rest/menu/</a></li>
 	<li>Order Online <a href=""https://www.toasttab.com/vish-miami-9454-harding-ave/v3#!/"">https://www.toasttab.com/vish-miami-9454-harding-ave/v3#!/</a></li>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
</ul>",checked,,Restaurant,Pareve,North America,USA,Florida,Surfside,,(305) 763-8074,ORB,https://vish.rest/,none,25.8844650,-80.1236774,"9454 Harding Ave, Surfside, FL 33154, USA",https://www.facebook.com/vishsurfside/,https://orbonline.org/,vishsurfside@gmail.com,monday,custom,10:00,18:00,custom,"a:1:{i:0;s:5:""10:00"";}","a:1:{i:0;s:5:""18:00"";}",custom,"a:1:{i:0;s:5:""10:00"";}","a:1:{i:0;s:5:""18:00"";}",custom,"a:1:{i:0;s:5:""10:00"";}","a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""10:00"";}","a:1:{i:0;s:5:""15:00"";}",closed,,,custom,"a:1:{i:0;s:5:""10:00"";}",https://www.instagram.com/vishsurfside/,28/7/2020,27/7/2021,,,,,,,9454 Harding Ave,33154,,
19591,Sammy Sushi,"<h3 class=""font_5"">*PERMANENTLY CLOSED*</h3>
<strong>Highlights:</strong>
<ul>
 	<li>This place is permanently closed.</li>
</ul>",checked,,Restaurant,Pareve,North America,USA,California,,https://images.unsplash.com/photo-1583868161943-29a9ec42256e?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1171&q=80,,,,none,37.6768568,-121.7583232,"3016 Pacific Ave, Livermore, CA 94550, USA",,,,sunday,closed,,,closed,,,closed,,,closed,,,closed,,,closed,,,closed,,,12/9/2019,4/2/2021,,,,,,,,,,
12142,Ethel’s Baking Co.,"<h3> Non-Orthodox certification.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Gluten-Free Bakery. Non-Orthodox Rabbi certification.</li>
 	<li>Kosher Without Borders is designed to help you find Kosher food made to Orthodox standards anywhere on Earth.</li>
 	<li>We also list non-Orthodox providers and closed establishments to clear up any doubts you might have, if you come across them while searching online.</li>
 	<li>Ethel's produces gluten-free cookies available for takeaway and gift wrapping. Great decoration.</li>
 	<li>Located 14 miles northeast of downtown Detroit.</li>
 	<li>From <a href=""http://koshermichigan.com/standards/"" target=""_blank"" rel=""noopener noreferrer"">Kosher Michigan’s website</a>:</li>
</ul>
“All ingredients used in food production at establishments under Kosher Michigan’s certification must be approved by Rabbi Jason Miller and bear an approved kosher symbol (hechsher). No new ingredients or products may be introduced with prior approval from Rabbi Jason Miller. In most cases, only cheeses with a reliable kosher symbol are used in the production of food. If cheeses that do not bear a reliable kosher symbol are used, they must be USDA-approved cheeses made in the U.S.and the kosher certification letter must stipulate this. These cheeses are approved as kosher by the Conservative Movement through a <a href=""http://rabbinicalassembly.org/teshuvot/docs/19912000/abelson_microbial.pdf"" target=""_blank"" rel=""noopener noreferrer"">legal ruling</a> by the International Rabbinical Assembly’s Committee on Jewish Law and Standards (Yoreh Deah 87:10; Rabbi Kassel Abelson 1994).”",checked,,"Bakery,Food",,North America,USA,Michigan,,https://images.unsplash.com/photo-1583868161943-29a9ec42256e?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1171&q=80,(313) 469-1510,Kosher Michigan,https://ethelsbaking.com/,moderate,42.4602545,-82.9099604,"22314 Harper Ave. St. Clair Shores, MI 48080",,http://koshermichigan.com/,,,,,,,,,,,,,,,,,,,,,,,,14/8/2018,20/1/2021,,,,https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/255521643_4931265603584226_1188117150914424788_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=8bfeb9&_nc_ohc=fBPzU26oHfoAX9Byge9&_nc_ht=scontent-lga3-2.xx&oh=561996f33d0e543b56c99428f09edf05&oe=61A1AFC7  https://scontent-lga3-2.xx.fbcdn.net/v/t31.18172-8/26232435_1790468724330612_1628749545742724263_o.jpg?_nc_cat=108&ccb=1-5&_nc_sid=e3f864&_nc_ohc=J00r4CfCBMMAX8QKHRX&_nc_ht=scontent-lga3-2.xx&oh=811b7377c014ca8814bc1cab78c371d2&oe=61C3856A   https://scontent-lga3-2.xx.fbcdn.net/v/t1.18169-9/21230955_1645622005481952_6078638108465215423_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=e3f864&_nc_ohc=-7lnYjEAefYAX9i-abt&_nc_ht=scontent-lga3-2.xx&oh=6a5ceb25f213982ba2bdd1b759299c04&oe=61C23966,,,,,,
