ID,Title,Content,Content_Tagline,Content_Description,Content_Menu_or_URL,Content_Images,Content_Video,ClosedorQuestionable,Listing_Type,Meat_Dairy_Parve,Continent,Country,State/Provience,City,street_address,zip_code,_listing_location,geolocation_lat,geolocation_long,_listing_kosher,_listing_pricing_range,listing_thumbnail,_listing_kosher_url,_listing_phone,_listing_website,_listing_email,_listing_social__facebook,_listing_social__instagram,_listing_working_hours,_listing_monday_hours_radio,_listing_monday_hours_open,_listing_monday_hours_close,_listing_tuesday_hours_radio,_listing_tuesday_hours_open,_listing_tuesday_hours_close,_listing_wednesday_hours_radio,_listing_wednesday_hours_open,_listing_wednesday_hours_close,_listing_thursday_hours_radio,_listing_thursday_hours_open,_listing_thursday_hours_close,_listing_friday_hours_radio,_listing_friday_hours_open,_listing_friday_hours_close,_listing_saturday_hours_radio,_listing_saturday_hours_open,_listing_saturday_hours_close,_listing_sunday_hours_radio,_listing_sunday_hours_open,DateCreated,_listing_confirmed,Status,Chabad Status,KWB_Highlight,More Information:
4235,Levy's Of Hollywood,"<h3>This family-owned, kosher eatery serves up traditional shawarma &amp; kebabs in a low-key atmosphere.</h3>
<strong>KWB’s Highlights:</strong>
<ul>
 	<li>For over 20 years, Levys kosher of hollywood has been synonymous with Middle Eastern fine dining.</li>
 	<li>Liz Levy executive chef/owner takes the cuisine and culture of her homeland to the next level with a breathtaking restaurant and delicious cuisine.</li>
 	<li>The Chef's mastery of traditional spices and flavors makes each dish an opportunity to experience classics and delicacies in new and exciting ways.</li>
 	<li>Every plate becomes a culinary journey. Levys kosher of Hollywood also features homemade desserts to sophisticated tastes.</li>
 	<li>For more information <a href=""http://www.levyskosherofhollywood.com/about.html"" target=""_blank"" rel=""noopener noreferrer"">click here</a>.</li>
</ul>
<p align=""center""></p>",,,,Exterior:https://www.tripadvisor.com/Restaurant_Review-g34296-d833634-Reviews-Levy_s_Kosher_of_Hollywood-Hollywood_Broward_County_Florida.html   Interior:https://www.tripadvisor.com/Restaurant_Review-g34296-d833634-Reviews-Levy_s_Kosher_of_Hollywood-Hollywood_Broward_County_Florida.html Comida:https://www.tripadvisor.com/Restaurant_Review-g34296-d833634-Reviews-Levy_s_Kosher_of_Hollywood-Hollywood_Broward_County_Florida.html#photos;aggregationId=101&albumid=101&filter=7&ff=408841533,,checked,Restaurant,Meat,North America,USA,Florida,Hollywood,3369 Sheridan St,33021,"3369 Sheridan St, Hollywood, FL 33021, USA",26.0337251,-80.1771314,ORB,moderate,,https://orbonline.org/category/restaurants/,+1 954-983-2825,http://www.levyskosherofhollywood.com/,levyskosher@aol.com,https://www.facebook.com/LevysKosherOfHollywood/,https://www.instagram.com/levyskosher_hollywood/?hl=en,thursday,custom,11:30,21:00,custom,"a:1:{i:0;s:5:""11:30"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:30"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:30"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:30"";}","a:1:{i:0;s:5:""15:00"";}",closed,,,custom,"a:1:{i:0;s:5:""11:30"";}",18/10/2017,26/7/2021,,,,
18375,Kosher Price Market,"<h3>Food Store in Miami beach.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Fully stocked food store: meat, poultry, fish, sushi made fresh to order, take out/deli, bakery, shabbos take out, flowers, dairy.</li>
 	<li>A local food store. Items Baked or Cooked on premises are Pas Yisroel.</li>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
</ul>",,,,https://scontent-hou1-1.xx.fbcdn.net/v/t1.18169-9/24862241_1536251576491412_3408926208981117419_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=8bfeb9&_nc_ohc=4M9IUkRGWCcAX9hlJz0&_nc_ht=scontent-hou1-1.xx&oh=51f8cb34c14f06fd4d7a9e489552d255&oe=61B9D06F   https://scontent-hou1-1.xx.fbcdn.net/v/t1.18169-9/13900092_1022645067852068_1106023752737233405_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=IAp7Dmc8SMYAX-VR-lg&_nc_ht=scontent-hou1-1.xx&oh=9c85c1a3e0f35730e508a6d62fd2f63d&oe=61B6E05C,,,"Food,Restaurant,Store",,North America,USA,Florida,Miami,"460 W 41st St, Miami Beach",33140,"460 W 41st St, Miami Beach, FL 33140, USA",25.8136587,-80.1289598,KM,cheap,,http://koshermiami.org/establishments/KosherPrice,(305) 763-8524,http://kosherpricemiami.com,,https://www.facebook.com/KosherPrice/,https://www.instagram.com/KosherPrice/,monday,custom,07:30,"a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""07:30"";}","a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""07:30"";}","a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""07:30"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""07:00"";}","a:1:{i:0;s:5:""15:00"";}",closed,,,custom,"a:1:{i:0;s:5:""08:00"";}",27/7/2019,23/7/2021,,,,
12000,Mex Mexican Kitchen,"<h3>**NO LONGER KOSHER**</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>This restaurant is no longer kosher.</li>
</ul>",,,,,,,Restaurant,,North America,USA,Florida,Miami,16850 Collins Ave,33160,"16850 Collins Ave, Sunny Isles Beach, FL 33160, USA",25.9324127,-80.1221397,,none,,,(305) 921-9113,,,https://www.facebook.com/call3059219113/,,,,,,,,,,,,,,,,,,,,,,,16/8/2018,26/7/2021,,,,
18500,Sonny's Bakery,"<h3>Bakery in North Miami Beach, Florida.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Varieties of muffins, croissants, cookies, CHALLAH, babka, rugelach, &amp; much more!</li>
 	<li><a href=""https://www.sonnysbakeryofnmb.com/order-online"">Order Online</a></li>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
</ul>",,,,Exterior:https://www.google.com/maps/uv?pb=!1s0x88d9ac4a4ecd50f3%3A0xe7f250269c623c47!3m1!7e115!4shttps%3A%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipP_pUX7DAXFpdoW90kvOE1NNeFh1QZUV2zj9lQe%3Dw72-h160-k-no!5sSonny%27s%20Bakery%20-%20Google%20Search!15sCgIgAQ&imagekey=!1e10!2sAF1QipNm7jQxzHapkumyCb_fuvrRPe1b8zxcqHOhE0UZ&hl=en&sa=X&ved=2ahUKEwiJkLy5n5v0AhUORDABHQ2ZAlwQoip6BAhnEAM&cshid=1637009599881979    https://www.google.com/maps/uv?pb=!1s0x88d9ac4a4ecd50f3%3A0xe7f250269c623c47!3m1!7e115!4shttps%3A%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipP_pUX7DAXFpdoW90kvOE1NNeFh1QZUV2zj9lQe%3Dw72-h160-k-no!5sSonny%27s%20Bakery%20-%20Google%20Search!15sCgIgAQ&imagekey=!1e10!2sAF1QipPQvvY9vw90ZwyD2vo8a5SiGoPO6C7IoQLKiNT1&hl=en&sa=X&ved=2ahUKEwiJkLy5n5v0AhUORDABHQ2ZAlwQoip6BAhnEAM&cshid=1637009599881979,,,Bakery,,North America,USA,Florida,North Miami Beach,18445 NE 19th Ave,33179,"18445 NE 19th Ave, North Miami Beach, FL 33179, USA",25.9452796,-80.1624384,KM,cheap,,http://koshermiami.org/establishments/SohoAsianBarandGrill,+1 305-682-8770,https://www.sonnysbakeryofnmb.com/,sonnysbakerynmb@gmail.com,https://www.facebook.com/SonnysBakery/,https://www.instagram.com/sonnysbakeryofnmb/?hl=en,monday,custom,08:00,"a:1:{i:0;s:5:""18:00"";}",custom,"a:1:{i:0;s:5:""08:00"";}","a:1:{i:0;s:5:""18:00"";}",custom,"a:1:{i:0;s:5:""08:00"";}","a:1:{i:0;s:5:""18:00"";}",custom,"a:1:{i:0;s:5:""08:00"";}","a:1:{i:0;s:5:""18:00"";}",custom,"a:1:{i:0;s:5:""08:00"";}","a:1:{i:0;s:5:""16:30"";}",closed,,,closed,,30/7/2019,23/7/2021,,,,
18390,Le Chocolatier Fine Handmade Chocolate,"<h3>Fine handmade chocolate.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Products are Pas Yisroel Except twisted pretzels</li>
 	<li>Corporate occasions, condolences, shiva and just chocolate lovers</li>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
</ul>",,,,https://scontent-hou1-1.xx.fbcdn.net/v/t1.6435-9/66795454_2886569188036337_5374420756488781824_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=a26aad&_nc_ohc=ZN9jBfOUGFkAX-Oxy6z&_nc_ht=scontent-hou1-1.xx&oh=036dfbd5858986308c3ecd00b49ab78c&oe=61B8E01C   https://scontent-hou1-1.xx.fbcdn.net/v/t1.18169-9/35904_133278746698742_3422652_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=174925&_nc_ohc=23L78vNwlsUAX88jqwB&_nc_ht=scontent-hou1-1.xx&oh=73d080d5dc6ac83c45f3028a98890339&oe=61B9A0B4,,,"Bakery,Food,Store,Delivery/Pickup",,North America,USA,Florida,North Miami Beach,1840 NE 164th St,33162,"1840 NE 164th St, North Miami Beach, FL 33162, USA",25.9266860,-80.1633105,KM,moderate,,https://www.lechocolatier.com/kosher,(305) 944-3020,https://www.lechocolatier.com,info@lechocolatier.com,https://www.facebook.com/lechocolatierfinehandmadechocolates/,https://www.instagram.com/lechocolatier_chocolates/?hl=en,monday,custom,09:00,"a:1:{i:0;s:5:""19:00"";}",custom,09:00,"a:1:{i:0;s:5:""19:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}","a:1:{i:0;s:5:""19:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}","a:1:{i:0;s:5:""19:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}","a:1:{i:0;s:5:""16:00"";}",closed,,,closed,"a:1:{i:0;s:5:""11:00"";}",27/7/2019,23/7/2021,,,,
4048,Sun Harbour Boutique Hotel in Surfside,"<h3>Surfside hotel with outdoor pool.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Set in a Italian-style building, this polished, all-suite hotel is a 2-minute walk from the nearest beach and 3 minutes from Bal Harbour Shops.</li>
 	<li>Sophisticated 1- and 2-bedroom suites are accessed via exterior corridors and come with full kitchens, free WiFi and flat-screen TVs, as well as DVD players and living rooms with sofabeds. All have courtyard views.</li>
 	<li>Amenities include a central courtyard with a heated outdoor pool and a terrace. Parking is complimentary.</li>
</ul>",,,,,,,Hotels/AirBnb,,North America,USA,Florida,Surfside,9576 Collins Ave,33154,"9576 Collins Ave, Surfside, FL 33154, USA",25.8867017,-80.1231212,,expensive,,,+1 305-868-4447,https://www.hotels.com/ho219221/?q-check-out=2017-12-22&FPQ=3&q-check-in=2017-12-20&WOE=5&WOD=3&q-room-0-children=0&tab=description&JHR=4&q-room-0-adults=2&YGF=14&MGT=2&ZSX=0&SYE=3,,https://www.facebook.com/sunharbourboutiquehotel/,,sunday,open,,,open,,,open,,,open,,,open,,,open,,,open,,2/11/2017,26/7/2021,,,,
18440,My Plant Cake,"<h3>Online orders only, Delivery available, or orders can be picked up.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
</ul>",,,,"https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/1216230/settings_images/MueDQCfuQ2qCI4AjPbRe_Untitled-14.png
https://scontent.fsal3-1.fna.fbcdn.net/v/t1.6435-9/186558293_1770782559768395_1859378987913516570_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=a26aad&_nc_ohc=o1WdZsQcuigAX9xYcEk&_nc_ht=scontent.fsal3-1.fna&oh=9047d8166e522be843cd3537443912ec&oe=61B7F85F
https://scontent.fsal2-1.fna.fbcdn.net/v/t1.6435-9/72721871_1293042744209048_5950534058822860800_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=730e14&_nc_ohc=P4mLfC5AuXYAX91D91r&_nc_ht=scontent.fsal2-1.fna&oh=bdcd04fdbe441081bca204eb5f06ed34&oe=61B8C5BB",,,Bakery,Pareve,North America,USA,Florida,Miami,11650 NE 16th Ave #108,33161,"11650 NE 16th Ave #108, Miami, FL 33161, USA",25.8832184,-80.1660325,KM,moderate,,http://koshermiami.org/establishments/MyPlantCakeOnline,+1 786-403-2706,https://myplantcake.com/,olga@myplantcake.com,https://www.facebook.com/fitysweety/,https://www.instagram.com/myplantcake/,sunday,open,,,custom,"a:1:{i:0;s:5:""10:00"";}","a:1:{i:0;s:5:""18:00"";}",custom,"a:1:{i:0;s:5:""10:00"";}","a:1:{i:0;s:5:""18:00"";}",custom,"a:1:{i:0;s:5:""10:00"";}","a:1:{i:0;s:5:""18:00"";}",custom,"a:1:{i:0;s:5:""10:00"";}","a:1:{i:0;s:5:""12:00"";}",closed,,,custom,"a:1:{i:0;s:5:""10:00"";}",29/7/2019,23/7/2021,,,,
15823,Fresh Break,"<h3><strong>**PERMANENTLY CLOSED**</strong></h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>This place is permanently closed.</li>
</ul>",,,,,,,"Delivery/Pickup,Restaurant",,North America,USA,Florida,Miami,1110 Brickell Ave,33131,"1110 Brickell Ave, Miami, FL 33131, USA",25.7627253,-80.1922577,,moderate,,,+1 786-534-8822,http://www.freshbreak.com,info@freshbreak.com,https://www.facebook.com/pg/freshbreakmiami/,,sunday,custom,08:00,"a:1:{i:0;s:5:""16:00"";}",custom,"a:1:{i:0;s:5:""08:00"";}","a:1:{i:0;s:5:""16:00"";}",custom,"a:1:{i:0;s:5:""08:00"";}","a:1:{i:0;s:5:""16:00"";}",custom,"a:1:{i:0;s:5:""08:00"";}","a:1:{i:0;s:5:""16:00"";}",custom,"a:1:{i:0;s:5:""08:00"";}","a:1:{i:0;s:5:""16:00"";}",closed,,,closed,,22/4/2019,26/7/2021,,,,
20346,Pita Hut-North Miami Beach,"<h3 class=""font_3""><span class=""color_11"">Taste of the Middle East.</span></h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Shawarma, Falafel, Steaks, Hamburgers and more.</li>
 	<li>Take out and delivery</li>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
</ul>",,,,"https://scontent.fsal3-1.fna.fbcdn.net/v/t1.6435-9/38284446_1830745160306056_1324798802938298368_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=8bfeb9&_nc_ohc=4itwNsaAiL8AX9hNjAw&_nc_ht=scontent.fsal3-1.fna&oh=9fce441c8446d106ef34405c8c0f6274&oe=61B815EC
https://scontent.fsal2-1.fna.fbcdn.net/v/t1.6435-9/36241370_1773814682665771_5175429454171734016_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=730e14&_nc_ohc=dmFPuFnpkNoAX8Wb_vt&_nc_ht=scontent.fsal2-1.fna&oh=762503085b5bd6b0209cfe5ceac201c6&oe=61B7BC19
https://scontent.fsal2-1.fna.fbcdn.net/v/t1.6435-9/40160630_1874135279300377_2152077175652614144_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=8bfeb9&_nc_ohc=_vCalAl_GsoAX-GrD1m&tn=3NPJbOUALMk0xiH8&_nc_ht=scontent.fsal2-1.fna&oh=9fd981e1272c05d1acccbe3bc3980a4d&oe=61B91D75
https://scontent.fsal3-1.fna.fbcdn.net/v/t39.30808-6/247918469_4732520626795147_4403897995531347708_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=a26aad&_nc_ohc=dAypDSwemx8AX-Cc1G5&_nc_ht=scontent.fsal3-1.fna&oh=6fc898d8e14b5e6efd6df5f4322ee8a1&oe=619895E4",,,Restaurant,Meat,North America,USA,Florida,North Miami Beach,18450 W Dixie Hwy,33160,"18450 W Dixie Hwy, North Miami Beach, FL 33160, USA",25.9464537,-80.1488331,KM,moderate,,https://koshermiami.org/establishments/PitaHut-NorthMiamiBeach,(305) 792-0821,https://www.pitahutmiami.com/,pitahutnmb@gmail.com,https://www.facebook.com/PitaHutMiami/,https://www.instagram.com/pita.hut/,monday,custom,11:00,"a:1:{i:0;s:5:""22:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""22:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""22:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""22:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""16:00"";}",closed,,,custom,"a:1:{i:0;s:5:""11:00"";}",20/11/2019,22/7/2021,,,,
20340,Pita Plus,"<h3> Mediterranean cuisine with traditional Middle Eastern specialties.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Glatt Middle Eastern Kosher Restaurant, specialized in Sandwiches on Pita, Baguette or Laffa.</li>
 	<li>Check the <a href=""https://www.pitaplus.com/menu/"">Menu</a></li>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
</ul>",,,,"https://scontent.fsal3-1.fna.fbcdn.net/v/t31.18172-8/11958132_857787007632006_3014994575326249680_o.jpg?_nc_cat=106&ccb=1-5&_nc_sid=e3f864&_nc_ohc=FgRjKLgPVX8AX9dus20&_nc_ht=scontent.fsal3-1.fna&oh=5d79b3f547461221b05b2da6d8036afc&oe=61BA264A
https://scontent.fsal3-1.fna.fbcdn.net/v/t1.6435-9/133200400_3557477287662951_1787957473488336471_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=730e14&_nc_ohc=nuyc-NDYVCgAX-h81-R&tn=3NPJbOUALMk0xiH8&_nc_ht=scontent.fsal3-1.fna&oh=b6308e7482b5a6a9e38b23ab61c2c0b3&oe=61B854B0
https://scontent.fsal2-1.fna.fbcdn.net/v/t1.6435-9/183317348_3918207448256598_3255330607725641488_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=8bfeb9&_nc_ohc=OT96rFvMC3gAX-lLeul&_nc_ht=scontent.fsal2-1.fna&oh=0996a49090b562c277c6efdba2019596&oe=61B93AE9
https://scontent.fsal2-1.fna.fbcdn.net/v/t39.30808-6/255437456_4466676663409671_2209024921514640758_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=8bfeb9&_nc_ohc=Yp-UT9tf7GYAX9dek2W&_nc_ht=scontent.fsal2-1.fna&oh=35886613fe26e935f9a42ae77d9d8f87&oe=6199ADB6",,,Restaurant,,North America,USA,Florida,Dania Beach,2145 Stirling Rd Dania Beach,33312,"2145 Stirling Rd Dania Beach, Florida, Estados Unidos 33312",26.0483006,-80.1693928,Rabbi David Golowinski,moderate,,,(954) 241-2011,https://www.pitaplus.com/,manager@pitaplus.com,https://www.facebook.com/PitaPlusDaniaBeach/,https://www.instagram.com/pitaplushollywood/?hl=en,monday,custom,11:00,21:00,custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""16:00"";}",closed,,,custom,"a:1:{i:0;s:5:""11:00"";}",19/11/2019,22/7/2021,,,,
