ID,Title,Content,Content_Tagline,Content_Description,Content_Menu_or_URL,Content_Images,Content_Video,ClosedorQuestionable,Listing_Type,Meat_Dairy_Parve,Continent,Country,State/Provience,City,_listing_pricing_range,geolocation_lat,geolocation_long,_listing_location,_listing_kosher,_listing_kosher_url,listing_thumbnail,_listing_phone,_listing_website,_listing_email,_listing_social__facebook,_listing_social__instagram,_listing_working_hours,_listing_monday_hours_radio,_listing_monday_hours_open,_listing_monday_hours_close,_listing_tuesday_hours_radio,_listing_tuesday_hours_open,_listing_tuesday_hours_close,_listing_wednesday_hours_radio,_listing_wednesday_hours_open,_listing_wednesday_hours_close,_listing_thursday_hours_radio,_listing_thursday_hours_open,_listing_thursday_hours_close,_listing_friday_hours_radio,_listing_friday_hours_open,_listing_friday_hours_close,_listing_saturday_hours_radio,_listing_saturday_hours_open,_listing_saturday_hours_close,_listing_sunday_hours_radio,_listing_sunday_hours_open,DateCreated,_listing_confirmed,Status,Chabad Status,street_address,zip_code,KWB_Highlight,More Information:
11249,Yiwu Commodities Market,"<h3>A wholesale market frequented by international buyers.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Whilst most factories require you to buy in bulk, in the Yiwu Commodities Market you can buy from China with no minimum quantities.</li>
 	<li>There are countless categories divided into 5 districts (a.k.a. buildings).</li>
 	<li>Be ready to walk for 8 hours a day.</li>
 	<li>We don't know of anything interesting to see in the city, looks like this is a place to do business and move on.</li>
 	<li>Be impressed by the sheer amount of luxury and exotic cars.</li>
 	<li>Chinese police sometimes seem to be wary of Muslims. If stopped, we recommend you explain which country you are from and that you are Jewish (You Tai, in Mandarin). In our experience that works, since it answers what the cops are really asking.</li>
 	<li>Be sure to stop by <a href=""https://kosherwithoutborders.com/listings/chabad-of-yiwu-kosher-in-china/"" target=""_blank"" rel=""noopener noreferrer"">Chabad Yiwu</a>, not only because it's the only option in town, but because it's awesome.</li>
 	<li>Check out the hotels we recommend.</li>
 	<li>KWB can recommend a trade agent which may go with you to the fair, help you navigate, translate and export your goods. <a href=""https://kosherwithoutborders.com/contact/"" target=""_blank"" rel=""noopener noreferrer"">Just ask us</a>.</li>
</ul>",A wholesale market frequented by international buyers.,"KWB’s Highlights:

Whilst most factories require you to buy in bulk, in the Yiwu Commodities Market you can buy from China with no minimum quantities.
There are countless categories divided into 5 districts (a.k.a. buildings).
Be ready to walk for 8 hours a day.
We don’t know of anything interesting to see in the city, looks like this is a place to do business and move on.
Be impressed by the sheer amount of luxury and exotic cars.
Chinese police sometimes seem to be wary of Muslims. If stopped, we recommend you explain which country you are from and that you are Jewish (You Tai, in Mandarin). In our experience that works, since it answers what the cops are really asking.
Be sure to stop by Chabad Yiwu, not only because it’s the only option in town, but because it’s awesome.
Check out the hotels we recommend.
KWB can recommend a trade agent which may go with you to the fair, help you navigate, translate and export your goods. Just ask us.",,https://alchetron.com/cdn/yiwu-market-11d1673b-3e75-42f7-8e81-fbf4f9fc8be-resize-750.jpg,,,Supermarket,,Asia,China,Zhejiang Sheng,Jinhua shi,moderate,29.3338141,120.1039181,"Chouzhou N Rd, Yiwu Shi, Jinhua Shi, Zhejiang Sheng, China, 322000",,,,,http://en.yiwugo.com,,,,,,,,,,,,,,,,,,,,,,,,,30/7/2018,9/2/2021,,,"Chouzhou N Rd, Yiwu Shi, Jinhua Shi",322000,,
758,"Chabad of Chengdu, China","<h3>Chabad Chengdu, China.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Modern, welcoming Chabad House.</li>
 	<li>For Shabbat, you can join to celebrate with delicious meals, in a warm atmosphere. From the Kiddush and Challah to the meaningful discussion and inspiring songs.</li>
 	<li>Kindly make a reservation so they can be properly prepared for all guests.</li>
 	<li>On Friday evenings, Arvit services begin fifteen minutes after candle lighting. Followed by the Shabbat meal. For Chengdu candle lighting times, please, <a href=""https://www.chabadchengdu.com/calendar/candlelighting.htm"" target=""_blank"" rel=""noopener noreferrer"">click here.</a></li>
 	<li>If you are looking for a hotel within walking distance to the Chabad House, <a href=""http://beta.chabadone.org/Article.asp?AID=2435874"" target=""_blank"" rel=""noopener noreferrer"">click here.</a></li>
 	<li>Due to Chinese government regulations,  events are restricted to foreign passport holders and their families.</li>
 	<li>Kosher food information, click <a href=""http://www.chabadchengdu.com/templates/articlecco_cdo/aid/2435937/jewish/Kosher-Food.htm/lang/en"" target=""_blank"" rel=""noopener noreferrer"">here</a>.</li>
 	<li>Sarah's Kitchen is Chengdu's first Kosher restaurant located at the Chabad Jewish Center of Chengdu. Opens daily and has an option for delivery throughout the city.  Offers authentic Chinese dishes as well as traditional Jewish dishes in a warm atmosphere.</li>
 	<li>There is currently no Mikvah in Chengdu. They are in the process of looking for a property and a donor so Chengdu can have a Mikvah of its own. <a href=""https://chabadchengducom.clhosting.org/templates/section_cdo/aid/3786799/lang/en"" target=""_blank"" rel=""noopener noreferrer"">Click here</a> to donate.</li>
</ul>","Chabad Chengdu, China.","KWB’s Highlights:

Modern, welcoming Chabad House.
For Shabbat, you can join to celebrate with delicious meals, in a warm atmosphere. From the Kiddush and Challah to the meaningful discussion and inspiring songs.
Kindly make a reservation so they can be properly prepared for all guests.
On Friday evenings, Arvit services begin fifteen minutes after candle lighting. Followed by the Shabbat meal. For Chengdu candle lighting times, please, click here.
If you are looking for a hotel within walking distance to the Chabad House, click here.
Due to Chinese government regulations,  events are restricted to foreign passport holders and their families.
Kosher food information, click here.
Sarah’s Kitchen is Chengdu’s first Kosher restaurant located at the Chabad Jewish Center of Chengdu. Opens daily and has an option for delivery throughout the city.  Offers authentic Chinese dishes as well as traditional Jewish dishes in a warm atmosphere.
There is currently no Mikvah in Chengdu. They are in the process of looking for a property and a donor so Chengdu can have a Mikvah of its own. Click here to donate.",,https://scontent-mia3-1.xx.fbcdn.net/v/t39.30808-6/241628278_4260326884034189_7668798140193397470_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=0debeb&_nc_ohc=PicvgF6OLMUAX8jyLAj&_nc_ht=scontent-mia3-1.xx&oh=431ad29a1f0ff7737571fe4207f88009&oe=618F9377 https://scontent-mia3-2.xx.fbcdn.net/v/t1.6435-9/193251797_3977831082283772_2392544176936704128_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=0debeb&_nc_ohc=k-X2G8zbuisAX_h3wO1&_nc_ht=scontent-mia3-2.xx&oh=b1a3bc2afc06cb956f176397df53676f&oe=61AFCCB7 https://scontent-mia3-2.xx.fbcdn.net/v/t1.6435-9/194751146_3977845078949039_8053301315923587929_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=0debeb&_nc_ohc=cS_T3qDuacAAX_Z91IF&_nc_ht=scontent-mia3-2.xx&oh=3174326d217a99141afde14e80394f1b&oe=61B22FE8,,,"Chabad ,Delivery/Pickup,Shabbat Meals,Synagogue,Supermarket",,Asia,China,Sichuan,Shanghai,moderate,30.5728150,104.0668010,"Chengdu, Sichuan, China",R. Dovi Henig,,,+86 187 8243 4429,http://www.chabadchengdu.com/,rabbi@chabadchengdu.com,https://www.facebook.com/ChabadOfChengdu/,,sunday,open,,,open,,,open,,,open,,,open,,,open,,,open,,22/8/2017,18/2/2021,,Official,,,,
765,Elyon Market,"<h3>Kosher market and butcher shop in Moscow, Russia.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Elyon is a brand of Kosher meat products from Ramenskoye Meat Processing Plant.</li>
 	<li>Kosher supermarket with varied certified products.</li>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
</ul>","Kosher market and butcher shop in Moscow, Russia.","KWB’s Highlights:

Elyon is a brand of Kosher meat products from Ramenskoye Meat Processing Plant.
Kosher supermarket with varied certified products.
Did we miss anything? Let us know in the comments below!
Have you been here before? Share your tips with us!
Are you the owner? Claim your listing!",,"http://www.elyon.ru/upload/image/kosher_zdorov.jpg
http://www.elyon.ru/upload/image/123.jpg",,,Supermarket,,Asia,Russia,,Moscow,moderate,55.7873470,37.6139840,"ул. Октябрьская, дом 18 Moscow, Russia 127018",KP,https://www.kosher.ru/shops/moskva,,+7 495 789 49 74,http://www.elyon.ru/,elyonmarket@gmail.com,https://www.facebook.com/elyon.ru/,,sunday,custom,09:00,21:00,custom,09:00,"a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}","a:1:{i:0;s:5:""19:00"";}",closed,,,custom,"a:1:{i:0;s:5:""09:00"";}",22/8/2017,19/2/2021,,,"ул. Октябрьская, дом 18",127018,,
779,Kosher Gourmet,"<h3>Russian supermarket with Kosher products.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li> Everything is worked out to the smallest detail, with a special attention to each customer.</li>
 	<li>The windows show only Kosher products, the best of the best. 70% of all goods are shipped directly from Israel, including a supermarket cooperating with European suppliers.</li>
</ul>","Butcher, deli with takeaway services available.","KWB’s Highlights:

Full-service Glatt Kosher catering and takeaway.
At this place you can find quality meats, dairy products, and dry goods.
Serving since 1983.
You can pick up a deli sandwich for lunch on the go, or call in an order ahead of time and they’ll make dinner for you.
The Kosher Gourmet has a combination of different and varied types of raw and prepared foods.
Located at Briar Vista, 7 miles northeast of Downtown Atlanta.
Executive menu.
Teudah.",,"https://scontent.fsal3-1.fna.fbcdn.net/v/t1.6435-9/31582478_1214916565278007_1707633405811752960_n.jpg?_nc_cat=102&ccb=1-5&_nc_sid=cdbe9c&_nc_ohc=3IuCrz2tk38AX9c5zpT&_nc_ht=scontent.fsal3-1.fna&oh=0b322e675d435a3c499a4e5def61f6f9&oe=61AEBE0E
https://scontent.fsal2-1.fna.fbcdn.net/v/t1.6435-9/31775116_1214908531945477_5312397022098096128_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=cdbe9c&_nc_ohc=4Ij028ahelEAX9k0MI-&_nc_ht=scontent.fsal2-1.fna&oh=592aba91d0be4e11a239aec0055ca4e7&oe=61AF3344
https://scontent.fsal3-1.fna.fbcdn.net/v/t1.6435-9/37294455_1296729293763400_2001931320917229568_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=730e14&_nc_ohc=fXqooOyZSykAX8HuQr1&_nc_ht=scontent.fsal3-1.fna&oh=48f453710b8ddf4c191b7f798fadb33f&oe=61AE04B1",,,Supermarket,,Asia,Russia,,Moscow,moderate,55.7859515,37.5993886,"127055, ul. Novosushchevskaya, 15, Moscow, Russia, 127055",KR,https://www.kosher.ru/shops/moskva,,+7 495 123 67 70,http://koshergurme.ru/,info@koshergurme.ru,https://www.facebook.com/koshergurme.official/,,sunday,custom,09:00,22:00,custom,09:00,"a:1:{i:0;s:5:""22:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}","a:1:{i:0;s:5:""22:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}","a:1:{i:0;s:5:""22:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}","a:1:{i:0;s:5:""18:00"";}",closed,,,custom,"a:1:{i:0;s:5:""09:00"";}",22/8/2017,19/2/2021,,,"127055, ul. Novosushchevskaya, 15",127055,,
7667,Natural Pantry Fresh Market,"<h3>A life-saving supermarket with Kosher meats and products.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>Supermarket with Kosher products in Anchorage, Alaska.</li>
 	<li>At their Kosher section they usually carry a variety of items like: Empire cold cuts, frankfurters, turkey, chicken, chicken &amp; turkey pot pies, Meal Mart frozen meals, J2 frozen pizzas, Tillamook cheddar cheese, blintzes, cream cheese, smoked mozzarella cheese, puddings and snacks, frozen whole grain Pas Yisrael Ezekiel bread and other items.</li>
 	<li>Frozen unbaked Kineret brand Challah is sometimes available, and they do carry Kedem Grape Juice.</li>
 	<li>In order to guarantee that the items you would like are in stock, please call Vikki at the Natural Pantry at 907-770-1444 or fax at 770-1445. (<a href=""https://docs.wixstatic.com/ugd/abae23_1af49890fcbf42329eafd50ca8623f4a.pdf"" target=""_blank"" rel=""noopener noreferrer"">Source</a>).</li>
 	<li>Located 3 miles south of Downtown Anchorage.</li>
</ul>",A life-saving supermarket with Kosher meats and products.,"KWB’s Highlights:

Supermarket with Kosher products in Anchorage, Alaska.
At their Kosher section they usually carry a variety of items like: Empire cold cuts, frankfurters, turkey, chicken, chicken & turkey pot pies, Meal Mart frozen meals, J2 frozen pizzas, Tillamook cheddar cheese, blintzes, cream cheese, smoked mozzarella cheese, puddings and snacks, frozen whole grain Pas Yisrael Ezekiel bread and other items.
Frozen unbaked Kineret brand Challah is sometimes available, and they do carry Kedem Grape Juice.
In order to guarantee that the items you would like are in stock, please call Vikki at the Natural Pantry at 907-770-1444 or fax at 770-1445. (Source).
Located 3 miles south of Downtown Anchorage.",,"https://extechsystems.com/wp-content/uploads/2016/09/IMG_2751.jpg
https://images.happycow.net/venues/1024/12/71/hcmp12717_624863.jpeg",,,Supermarket,,North America,USA,Alaska,Anchorage,moderate,61.1863575,-149.8816338,"3680 Barrow St, Anchorage, AK 99503, EE. UU.",,,,+1 907-770-1444,,,,,,,,,,,,,,,,,,,,,,,,,,12/6/2018,1/10/2020,,,"3680 Barrow St,",99503,,
1521,National Azabu - Den-en,"<h3>Supermarket not certified with many Kosher products.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>National Azabu is a supermarket with many Kosher products.</li>
 	<li>Open 7 days a week.</li>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
 	<li>Kosher Without Borders is designed to help you find kosher food made to Orthodox standards anywhere on earth.</li>
 	<li>We also list non-Orthodox providers and closed establishments to clear up any doubts you might have, if you come across them while searching online.</li>
</ul>",Supermarket not certified with many Kosher products.,"KWB’s Highlights:

National Azabu is a supermarket with many Kosher products.
Open 7 days a week.
Did we miss anything? Let us know in the comments below!
Have you been here before? Share your tips with us!
Are you the owner? Claim your listing!
Kosher Without Borders is designed to help you find kosher food made to Orthodox standards anywhere on earth.
We also list non-Orthodox providers and closed establishments to clear up any doubts you might have, if you come across them while searching online.",,"https://tokyo.com/wp-content/uploads/2016/10/q8a0138-2.jpg
http://tokyo.com/wp-content/uploads/2016/10/q8a0099-2.jpg
https://a3.cdn.japantravel.com/photo/38627-174093/800!/tokyo-hiroo-s-national-azabu-supermarket-174093.jpg",,,Supermarket,,Asia,Japan,Tokyo,Setagaya,expensive,35.6898738,139.7073324,"2 Chome-6-２１ Tamagawadenenchofu, Setagaya, Tokyo 158-0085, Japan",,,,+81 3-3442-3181,http://www.national-azabu.com/e_storeguide.html,info@national-azabu.com,https://www.facebook.com/National-Azabu-Supermarket-148815671848478/,,sunday,custom,09:00,21:00,custom,09:00,"a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""09:00"";}",5/8/2017,22/2/2021,,,2 Chome-6-２１ Tamagawadenenchofu,158-0085,,
1522,National Azabu - Minato-Ku,"<h3>Supermarket not certified with many Kosher products.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>National Azabu is a supermarket with many Kosher products.</li>
 	<li>Open 7 days a week.</li>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
 	<li>Kosher Without Borders is designed to help you find kosher food made to Orthodox standards anywhere on earth.</li>
 	<li>We also list non-Orthodox providers and closed establishments to clear up any doubts you might have, if you come across them while searching online.</li>
</ul>",Supermarket not certified with many Kosher products.,"KWB’s Highlights:

National Azabu is a supermarket with many Kosher products.
Open 7 days a week.
Did we miss anything? Let us know in the comments below!
Have you been here before? Share your tips with us!
Are you the owner? Claim your listing!
Kosher Without Borders is designed to help you find kosher food made to Orthodox standards anywhere on earth.
We also list non-Orthodox providers and closed establishments to clear up any doubts you might have, if you come across them while searching online.",,"https://obs.line-scdn.net/0hBeatwludHUpcDTRWscBiHWNfHSUvYQICODcCei0TOwYHU18aY25NVQ11MXp5bwgaY21SaXhfEHNwO1NM/f750_750_60_sharpen
https://minatokankoprod.blob.core.windows.net/assets/2019/02/04/04/03/29/http__www.minato-kanko.com_var_minato_storage_images_buy_nashonaruazabu_24146-1-jpn-JP_NATIONAL-AZABU_zoom.jpg
https://metropolisjapan.com/wp-content/uploads/2021/03/NationalAzabu-13-scaled.jpg",,,Supermarket,,Asia,Japan,Tokyo,Minato,expensive,35.6510290,139.7238711,"4-chōme-5-2 Minamiazabu, Minato City, Tōkyō-to 106-0047, Japan",,,,03-3442-3181,http://www.national-azabu.com/e_storeguide.html,info@national-azabu.com,,,sunday,custom,08:30,21:00,custom,"a:1:{i:0;s:5:""08:30"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""08:30"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""08:30"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""08:30"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""08:30"";}","a:1:{i:0;s:5:""21:00"";}",custom,"a:1:{i:0;s:5:""08:30"";}",5/8/2017,22/2/2021,,,4-chōme-5-2 Minamiazabu,106-0047,,
1399,Tsukiji Market (Tokyo),"<h3>Sprawling wholesale fish market with an array of seafood &amp; viewing areas for a popular tuna auction.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>The world's largest, busiest <em>fish market</em> has long been a favourite <a href=""http://www.tsukiji-market.or.jp/tukiji_e.htm"" target=""_blank"" rel=""noopener noreferrer"">destination</a> for jet-lagged tourists with predawn hours to fill. But the main reason for going at 5 a.m. is to catch the live tuna auctions.</li>
 	<li>It will be on a first-come, first-serve basis, and limited to 120 people, admitted in two shifts of 60. You can register starting at 4:30 a.m. at the fish information centre inside the Kachidoki Gate off Harumi Street.</li>
 	<li>If you prefer to do your exploring at a more reasonable hour, keep in mind that by 9 a.m., business will have already started to wind down. You'll still see fishmongers filleting the day's catch, but you won't have to dodge so many trucks and trolleys.</li>
 	<li>If the wholesale market smells too fishy for you, a less pungent alternative is Tsukiji's outer market, a warren of narrow streets packed with stalls selling fresh seafood and other speciality items, such as real wasabi.</li>
 	<li>You can buy bowls and sashimi knives there too. Right in the thick of it is the reliably superb Sushizanmai's <i>honten</i> (main branch), open 24 hours.</li>
</ul>
<strong>A few more general rules for visiting Tsukiji Market</strong>
<ul>
 	<li>Since Tsukiji Market is a site where serious business is conducted, it is important for visitors not to interfere with the action by adhering to the following additional rules:</li>
 	<li>Do not enter areas restricted to authorised personnel!</li>
 	<li>Do not obstruct traffic!</li>
 	<li>Do not bring large bags or suitcases into the market!</li>
 	<li>Do not enter the market in high heeled shoes or sandals!</li>
 	<li>Do not bring small children or pets!</li>
 	<li>Do not smoke in the market!</li>
 	<li>Do not touch anything!</li>
</ul>",Sprawling wholesale fish market with an array of seafood & viewing areas for a popular tuna auction.,"KWB’s Highlights:

The world’s largest, busiest fish market has long been a favourite destination for jet-lagged tourists with predawn hours to fill. But the main reason for going at 5 a.m. is to catch the live tuna auctions.
It will be on a first-come, first-serve basis, and limited to 120 people, admitted in two shifts of 60. You can register starting at 4:30 a.m. at the fish information centre inside the Kachidoki Gate off Harumi Street.
If you prefer to do your exploring at a more reasonable hour, keep in mind that by 9 a.m., business will have already started to wind down. You’ll still see fishmongers filleting the day’s catch, but you won’t have to dodge so many trucks and trolleys.
If the wholesale market smells too fishy for you, a less pungent alternative is Tsukiji’s outer market, a warren of narrow streets packed with stalls selling fresh seafood and other speciality items, such as real wasabi.
You can buy bowls and sashimi knives there too. Right in the thick of it is the reliably superb Sushizanmai’s honten (main branch), open 24 hours.
A few more general rules for visiting Tsukiji Market

Since Tsukiji Market is a site where serious business is conducted, it is important for visitors not to interfere with the action by adhering to the following additional rules:
Do not enter areas restricted to authorised personnel!
Do not obstruct traffic!
Do not bring large bags or suitcases into the market!
Do not enter the market in high heeled shoes or sandals!
Do not bring small children or pets!
Do not smoke in the market!
Do not touch anything!",,,,,Supermarket,,Asia,Japan,Tokyo,Tsukiji,moderate,35.6618377,139.7710218,"Japan, 〒104-0045 Tokyo, Chuo, Tsukiji, 5 Chome−２−１",,,,+81 3-3542-1111,https://www.japan-guide.com/e/e3021.html,,,,sunday,custom,05:00,14:00,custom,"a:1:{i:0;s:5:""05:00"";}","a:1:{i:0;s:5:""14:00"";}",custom,"a:1:{i:0;s:5:""05:00"";}","a:1:{i:0;s:5:""14:00"";}",custom,"a:1:{i:0;s:5:""05:00"";}","a:1:{i:0;s:5:""14:00"";}",custom,"a:1:{i:0;s:5:""05:00"";}","a:1:{i:0;s:5:""14:00"";}",custom,"a:1:{i:0;s:5:""05:00"";}","a:1:{i:0;s:5:""14:00"";}",custom,"a:1:{i:0;s:5:""05:00"";}",8/8/2017,22/2/2021,,,"Japan, 〒104-0045 Tokyo",104-0045,,
1520,National Azabu - Hiroo Garden Hills,"<h3>Supermarket not certified with Kosher products.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li>National Azabu is a supermarket with many Kosher products.</li>
 	<li>Open 7 days a week.</li>
 	<li>Did we miss anything? Let us know in the comments below!</li>
 	<li>Have you been here before? Share your tips with us!</li>
 	<li>Are you the owner? Claim your listing!</li>
 	<li>Kosher Without Borders is designed to help you find kosher food made to Orthodox standards anywhere on earth.</li>
 	<li>We also list non-Orthodox providers and closed establishments to clear up any doubts you might have, if you come across them while searching online.</li>
</ul>",Supermarket not certified with Kosher products.,"KWB’s Highlights:

National Azabu is a supermarket with many Kosher products.
Open 7 days a week.
Did we miss anything? Let us know in the comments below!
Have you been here before? Share your tips with us!
Are you the owner? Claim your listing!
Kosher Without Borders is designed to help you find kosher food made to Orthodox standards anywhere on earth.
We also list non-Orthodox providers and closed establishments to clear up any doubts you might have, if you come across them while searching online.",,"https://www.realestate-tokyo.com/media/3678/%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E9%BA%BB%E5%B8%83%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%9E%E3%83%BC%E3%82%B1%E3%83%83%E3%83%88-national-azabu-supermarket.jpg?anchor=center&mode=crop&width=600&height=400&rnd=131675021050000000
https://svcstrg.cld.navitime.jp/imgfile/02301_14402368_02.jpg
https://a3.cdn.japantravel.com/photo/38627-174090/800!/tokyo-hiroo-s-national-azabu-supermarket-174090.jpg",,,Supermarket,,Asia,Japan,Tokyo,Shibuya,expensive,35.6547516,139.7205907,"4-1-11 Hiroo Shibuya-ku,TOKYO 150-0012 JAPAN",,,,03-6419-4141,http://www.national-azabu.com/e_storeguide.html,info@national-azabu.com,https://www.facebook.com/National-Azabu-Supermarket-148815671848478/,,sunday,custom,10:00,20:00,custom,"a:1:{i:0;s:5:""10:00"";}","a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""11:00"";}","a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""10:00"";}","a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""10:00"";}","a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""10:00"";}","a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""10:00"";}",5/8/2017,22/2/2021,,,4-1-11 Hiroo Shibuya-ku,150-0012,,
1468,Nissin World Delicatessen,"<h3>Supermarket with delivery services available.</h3>
<strong>KWB's Highlights:</strong>
<ul>
 	<li><span style=""color: inherit; font-family: inherit; font-size: inherit;"">A supermarket where you can find Kosher products. </span></li>
 	<li><span style=""color: inherit; font-family: inherit; font-size: inherit;"">It has a similar range of products as with the </span><a style=""font-family: inherit; font-size: inherit;"" href=""https://kosherwithoutborders.com/listings/national-azabu-minato-ku/"" target=""_blank"" rel=""noopener noreferrer"">National Azabu</a><span style=""color: inherit; font-family: inherit; font-size: inherit;""> and delivery service is available as well.</span></li>
</ul>",Supermarket with delivery services available.,"KWB’s Highlights:

A supermarket where you can find Kosher products. 
It has a similar range of products as with the National Azabu and delivery service is available as well.",,"https://www.nissin-world-delicatessen.jp/access/img/shop01.jpg
https://www.nissin-world-delicatessen.jp/access/img/shop04.jpg",,,Supermarket,,Asia,Japan,Tokyo,Minato,moderate,35.6556898,139.7391870,"2 Chome-34-2 Higashiazabu, Minato-ku, Tōkyō-to 106-0044, Japan",,,,+81 3-3583-4586,https://www.nissin-world-delicatessen.jp/,,,,sunday,custom,09:30,20:00,custom,"a:1:{i:0;s:5:""09:30"";}","a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""09:30"";}","a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""09:30"";}","a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""09:30"";}","a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""09:30"";}","a:1:{i:0;s:5:""20:00"";}",custom,"a:1:{i:0;s:5:""09:30"";}",6/8/2017,22/2/2021,,,2 Chome-34-2 Higashiazabu,106-0044,,
